cf_id,company_name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,category,subcategory,category_id,subcategory_id
147,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,2/13/2020,3/1/2021,FALSE,FALSE,food/food trucks,food,food trucks,cat01,scat01
1621,Odom Inc,Managed bottom-line architecture,1400,14560,successful,158,US,USD,1/25/2021,5/25/2021,FALSE,TRUE,music/rock,music,rock,cat02,scat02
1812,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400,142523,successful,1425,AU,AUD,12/17/2020,12/30/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
2156,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,10/21/2021,1/17/2022,FALSE,FALSE,music/rock,music,rock,cat02,scat02
1365,Larson-Little,Proactive foreground core,7600,5265,failed,53,US,USD,12/21/2020,8/23/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2057,Harris Group,Open-source optimizing database,7600,13195,successful,174,DK,DKK,12/11/2020,8/29/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1894,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200,1090,failed,18,GB,GBP,7/31/2020,5/11/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
2669,Carter-Guzman,Centralized cohesive challenge,4500,14741,successful,227,DK,DKK,12/22/2020,9/21/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1114,Nunez-Richards,Exclusive attitude-oriented intranet,110100,21946,live,708,DK,DKK,4/8/2020,3/10/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
970,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,3208,failed,44,US,USD,8/13/2021,8/31/2021,FALSE,FALSE,music/electric music,music,electric music,cat02,scat06
2340,Green Ltd,Monitored empowering installation,5200,13838,successful,220,US,USD,7/11/2020,8/2/2021,FALSE,FALSE,film & video/drama,film & video,drama,cat05,scat07
601,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300,3030,failed,27,US,USD,8/11/2020,6/26/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1950,Kim Ltd,Assimilated hybrid intranet,6300,5629,failed,55,US,USD,11/14/2020,4/9/2021,FALSE,FALSE,film & video/drama,film & video,drama,cat05,scat07
671,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,11/11/2020,11/6/2021,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
1683,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,18829,failed,200,US,USD,11/14/2021,1/2/2022,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
505,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200,38414,failed,452,US,USD,10/25/2021,12/16/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
1245,Hines Inc,Cross-platform systemic adapter,1700,11041,successful,100,US,USD,8/20/2021,12/22/2021,FALSE,FALSE,publishing/nonfiction,publishing,nonfiction,cat06,scat010
2550,Cochran-Nguyen,Seamless 4thgeneration methodology,84600,134845,successful,1249,US,USD,4/12/2020,3/24/2021,FALSE,FALSE,film & video/animation,film & video,animation,cat05,scat011
875,Johnson-Gould,Exclusive needs-based adapter,9100,6089,canceled,135,US,USD,3/24/2021,1/27/2022,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2283,Perez-Hess,Down-sized cohesive archive,62500,30331,failed,674,US,USD,10/12/2021,11/17/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
118,"Reeves, Thompson and Richardson",Proactive composite alliance,131800,147936,successful,1396,US,USD,4/12/2020,4/9/2021,FALSE,FALSE,film & video/drama,film & video,drama,cat05,scat07
711,Simmons-Reynolds,Re-engineered intangible definition,94000,38533,failed,558,US,USD,3/14/2021,4/29/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1747,Collier Inc,Enhanced dynamic definition,59100,75690,successful,890,US,USD,7/6/2020,8/4/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1825,Gray-Jenkins,Devolved next generation adapter,4500,14942,successful,142,GB,GBP,7/23/2021,9/12/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
1019,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400,104257,successful,2673,US,USD,5/1/2021,10/1/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
821,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500,11904,successful,163,US,USD,10/9/2020,5/23/2021,FALSE,TRUE,games/video games,games,video games,cat07,scat012
2653,Spencer-Bates,Optional responsive customer loyalty,107500,51814,canceled,1480,US,USD,11/20/2020,7/27/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2502,"Best, Carr and Williams",Diverse transitional migration,2000,1599,failed,15,US,USD,1/8/2021,10/15/2021,FALSE,FALSE,music/rock,music,rock,cat02,scat02
325,"Campbell, Brown and Powell",Synchronized global task-force,130800,137635,successful,2220,US,USD,12/23/2020,12/23/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1345,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900,150965,successful,1606,CH,CHF,11/6/2020,8/27/2021,FALSE,FALSE,film & video/shorts,film & video,shorts,cat05,scat013
2303,Clark-Cooke,Down-sized analyzing challenge,9000,14455,successful,129,US,USD,10/28/2020,2/15/2021,FALSE,FALSE,film & video/animation,film & video,animation,cat05,scat011
2224,Schroeder Ltd,Progressive needs-based focus group,3500,10850,successful,226,GB,GBP,11/25/2020,2/5/2021,FALSE,FALSE,games/video games,games,video games,cat07,scat012
1173,Jackson PLC,Ergonomic 6thgeneration success,101000,87676,failed,2307,IT,EUR,2/21/2021,11/26/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
210,"Blair, Collins and Carter",Exclusive interactive approach,50200,189666,successful,5419,US,USD,4/4/2021,12/9/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1546,Maldonado and Sons,Reverse-engineered asynchronous archive,9300,14025,successful,165,US,USD,1/26/2021,12/10/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
2871,Mitchell and Sons,Synergized intangible challenge,125500,188628,successful,1965,DK,DKK,3/16/2021,3/25/2021,FALSE,TRUE,film & video/drama,film & video,drama,cat05,scat07
2034,Jackson-Lewis,Monitored multi-state encryption,700,1101,successful,16,US,USD,4/7/2021,11/26/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2677,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100,11339,successful,107,US,USD,11/20/2020,10/18/2021,FALSE,TRUE,publishing/fiction,publishing,fiction,cat06,scat014
1865,Maldonado-Gonzalez,Digitized client-driven database,3100,10085,successful,134,US,USD,8/23/2021,1/10/2022,FALSE,FALSE,photography/photography books,photography,photography books,cat08,scat015
170,Kim-Rice,Organized bi-directional function,9900,5027,failed,88,DK,DKK,4/14/2021,5/1/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
462,"Garcia, Garcia and Lopez",Reduced stable middleware,8800,14878,successful,198,US,USD,11/18/2020,3/18/2021,FALSE,TRUE,technology/wearables,technology,wearables,cat03,scat09
3122,Watts Group,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,3/17/2021,7/8/2021,FALSE,TRUE,music/rock,music,rock,cat02,scat02
1175,Werner-Bryant,Virtual uniform frame,1800,7991,successful,222,US,USD,6/20/2020,1/30/2021,FALSE,FALSE,food/food trucks,food,food trucks,cat01,scat01
2301,Schmitt-Mendoza,Profound explicit paradigm,90200,167717,successful,6212,US,USD,11/14/2020,7/6/2021,FALSE,FALSE,publishing/radio & podcasts,publishing,radio & podcasts,cat06,scat016
